Date,Volume,Low (EUR),High (EUR)
2019-03-13,9469184841,3385.956738,3416.139961
2019-03-14,10480789569,3394.128281,3433.458824
2019-03-15,9394210604,3405.193381,3452.632383
2019-03-16,9856166973,3446.642,3547.021648
2019-03-17,8221625399,3485.577686,3527.086201
2019-03-18,9646954186,3487.931954,3542.254278
2019-03-19,9344919956,3500.716875,3551.527976
2019-03-20,10175916388,3507.066431,3557.831865
2019-03-21,10831212661,3484.481689,3564.703081
2019-03-22,9252935969,3498.741958,3526.898862
2019-03-23,9578850549,3493.889202,3523.397834
2019-03-24,9144851064,3485.387798,3515.408745
2019-03-25,10359818882,3422.607187,3513.791513
2019-03-26,10707678814,3431.935261,3467.020306
2019-03-27,10897131934,3460.695176,3555.747561
2019-03-28,9353915899,3515.031731,3562.564827
2019-03-29,10918665556,3509.664536,3578.74585
2019-03-30,9732688060,3526.901411,3738.221778
2019-03-31,9045122442,3561.867722,3578.330391
2019-04-01,10157794170,3564.304189,3623.509219
2019-04-02,21315047816,3615.125699,4268.180493
2019-04-03,22899891582,4242.660352,4617.092974
2019-04-04,18251810239,4208.010732,4404.948911
2019-04-05,16837325387,4279.957778,4396.553496
2019-04-06,16929795193,4343.233286,4529.064946
2019-04-07,16655416140,4393.858535,4554.612275
2019-04-08,17154113634,4478.944365,4627.387691
2019-04-09,14722104361,4495.654482,4602.228633
2019-04-10,15504590933,4518.242622,4716.836689
2019-04-11,16555616019,4365.047857,4658.17626
2019-04-12,13675206312,4311.591709,4439.84874
2019-04-13,10823289598,4403.582739,4460.596201
2019-04-14,10391952498,4396.604472,4510.094018
2019-04-15,12290155060,4370.940322,4521.048033
2019-04-16,11618660197,4398.019497,4557.882422
2019-04-17,12438480676,4540.708842,4588.61959
2019-04-18,13256489918,4567.940947,4628.388105
2019-04-19,13780238655,4553.001841,4642.911753
2019-04-20,13169647522,4607.413799,4661.886929
2019-04-21,13731844222,4573.885239,4663.13458
2019-04-22,14601631647,4593.840864,4717.738125
2019-04-23,15867308107,4688.785561,4901.407954
2019-04-24,17048033399,4713.88897,4908.578658
2019-04-25,15330283408,4507.764814,4821.747304
2019-04-26,16812108039,4504.310727,4683.761821
2019-04-27,13111274675,4553.263096,4620.3525
2019-04-28,12819992055,4572.444727,4633.821783
2019-04-29,13735490672,4538.34438,4620.809165
2019-04-30,13878964573,4545.045249,4666.033872
2019-05-01,13679528236,4652.452017,4713.663398
2019-05-02,14644460907,4692.969038,4804.368545
2019-05-03,18720780005,4776.475444,5103.317197
2019-05-04,17567780765,4911.558237,5121.597393
2019-05-05,14808830722,4965.990586,5075.46063
2019-05-06,15737171804,4918.708125,5048.573042
2019-05-07,18026409032,4995.014517,5209.715054
2019-05-08,15320605299,5041.402763,5211.283433
2019-05-09,16784645410,5204.615273,5379.243985
2019-05-10,19419875367,5360.521567,5598.117378
2019-05-11,28867562329,5546.857895,6379.712549
2019-05-12,27773333679,5929.720767,6528.368701
2019-05-13,28677672181,6001.505537,7001.249385
2019-05-14,32031452226,6695.860268,7193.780215
2019-05-15,28344112919,6872.223033,7148.28873
2019-05-16,33167197581,6724.759306,7239.117071
2019-05-17,30066644905,6123.168325,6898.356592
2019-05-18,21354286561,6308.808824,6479.126617
2019-05-19,25902422039,6323.127715,7187.889023
2019-05-20,23843404339,6680.540112,7134.841963
2019-05-21,25127245056,6823.705664,7014.086133
2019-05-22,24719473174,6625.908955,6957.922705
2019-05-23,24457107820,6553.881196,6911.098608
2019-05-24,25919126990,6807.270395,7082.426162
2019-05-25,22256813106,6930.399184,7062.595429
2019-05-26,26677970091,6894.463257,7558.142842
2019-05-27,27949839563,7541.773418,7749.24208
2019-05-28,24226919266,7512.207862,7662.104444
2019-05-29,23473479966,7379.973809,7617.591709
2019-05-30,29246528551,7152.507891,7837.233574
2019-05-31,25365190957,7110.119179,7470.393487
2019-06-01,22488303543,7378.972969,7504.27251
2019-06-02,20266216022,7448.274756,7664.094229
2019-06-03,22004511436,7137.641426,7606.845
2019-06-04,24609731548,6581.10523,7143.557256
2019-06-05,21760923463,6671.741558,6874.608735
2019-06-06,19474611077,6587.179936,6905.486513
2019-06-07,19141423230,6775.884975,7069.753388
2019-06-08,16522722809,6818.721431,7026.895268
2019-06-09,16610726547,6597.401162,6939.097485
2019-06-10,18689275117,6600.455933,6987.761411
2019-06-11,17107279931,6762.339229,6982.962817
2019-06-12,19034432883,6840.253081,7131.084141
2019-06-13,18669407147,7035.7431,7231.063623
2019-06-14,19831162905,7119.551967,7578.253946
2019-06-15,18371033226,7498.004092,7707.441299
2019-06-16,23348550310,7668.664278,8122.204454
2019-06-17,15562951918,7820.36373,8192.274287
2019-06-18,15848210535,7834.264189,8133.0854
2019-06-19,15546809946,7891.244092,8090.670352
2019-06-20,17846823783,8032.261406,8347.145332
2019-06-21,20624008643,8286.814571,8825.764278
2019-06-22,29995204860,8793.120586,9706.890762
2019-06-23,20998326501,9183.803262,9784.145742
2019-06-24,19271652364,9231.072129,9627.329941
2019-06-25,24879684533,9576.265869,10258.097783
2019-06-26,45105733173,10227.369961,12002.945654
2019-06-27,39977475222,9127.911709,11580.695742
2019-06-28,35087757765,9495.610752,10827.30208
2019-06-29,29923961127,10012.289648,10788.791836
2019-06-30,27256473494,9395.137646,10595.193896
2019-07-01,29378589324,8777.703574,9749.602324
2019-07-02,31015895222,8471.959746,9493.603975
2019-07-03,30796494293,9411.795937,10412.227969
2019-07-04,25920294033,9714.915322,10445.28542
2019-07-05,23838480210,9461.219414,9914.225186
2019-07-06,21092024306,9554.813232,10110.239414
2019-07-07,19369044276,9699.460079,10041.209502
2019-07-08,23482551458,9912.2354,10740.874717
2019-07-09,28167921522,10642.937696,11117.844697
2019-07-10,33627574244,10188.551309,11422.690488
2019-07-11,28595327690,9708.262881,10565.822051
2019-07-12,23534692796,9725.855742,10357.773955
2019-07-13,21042616383,9490.377158,10302.502617
2019-07-14,22486000001,8904.08127,9962.547569
2019-07-15,25384047206,8693.045947,9615.906944
2019-07-16,24151199069,8219.852607,9567.070547
2019-07-17,24569921548,7971.927246,8667.927246
2019-07-18,25187024648,8157.81498,9341.053213
2019-07-19,20727426309,8899.777148,9323.773008
2019-07-20,20206615154,9092.610439,9612.336035
2019-07-21,17130580467,9038.95166,9432.442295
2019-07-22,16334414913,8834.782031,9267.058184
2019-07-23,17851916994,8598.727412,9001.670801
2019-07-24,17398734321,8364.446778,8620.653281
2019-07-25,15821952090,8503.342617,8834.200898
2019-07-26,14495714483,8454.644707,8627.370293
2019-07-27,16817809536,8188.023691,8845.568672
2019-07-28,13738687092,8049.498281,8330.724082
2019-07-29,13791445323,8241.464971,8423.034141
2019-07-30,13829811132,8210.482266,8440.530996
2019-07-31,16631520647,8350.344961,8774.496299
2019-08-01,17165337857,8632.156992,9088.820332
2019-08-02,17489094081,9022.781895,9272.419219
2019-08-03,15352685060,9138.049248,9523.699688
2019-08-04,16530894786,9239.642138,9578.010117
2019-08-05,23875988832,9535.839756,10348.729863
2019-08-06,23635107659,9822.936357,10678.224521
2019-08-07,22194988641,9947.32002,10472.181504
2019-08-08,19481591729,10053.866133,10422.095332
2019-08-09,18339989959,10187.478252,10414.298467
2019-08-10,18125355447,9851.791641,10366.620088
2019-08-11,15774371517,9786.016582,10025.513819
2019-08-12,13647198229,9849.22752,10029.524824
2019-08-13,16681503536,9422.384619,9935.44333
2019-08-14,19990838299,8724.478096,9473.914278
2019-08-15,22899115082,8417.525273,9080.547686
2019-08-16,20228207096,8574.266309,9156.18416
2019-08-17,13778035685,8775.427471,9093.78375
2019-08-18,12999813869,8803.612412,9123.751172
2019-08-19,16038264603,8972.487569,9496.966729
2019-08-20,15053082175,9238.496016,9523.926533
2019-08-21,19473084767,8667.567862,9394.894658
2019-08-22,17097508856,8553.372715,8902.706602
2019-08-23,15627023886,8768.027373,9084.925722
2019-08-24,15451030650,8684.598281,9063.677842
2019-08-25,14153856609,8707.646485,8965.021201
2019-08-26,18438654079,8809.88083,9145.725469
2019-08-27,14762609502,8775.951679,9031.755469
2019-08-28,17603790323,8453.490938,8943.048604
2019-08-29,17045878500,8196.817998,8488.403936
2019-08-30,13595263986,8202.623379,8400.8279
2019-08-31,11454806419,8292.66583,8415.702012
2019-09-01,11445355859,8337.161572,8523.177597
2019-09-02,17248102293,8465.66584,9045.034863
2019-09-03,19384917988,8968.436631,9340.410908
2019-09-04,16742664768,9078.197666,9363.500742
2019-09-05,14551239507,9149.283633,9245.724492
2019-09-06,19536574782,8954.30083,9481.922696
2019-09-07,15307366476,9003.559482,9186.04623
2019-09-08,13670567492,9055.909013,9218.204795
2019-09-09,17595943367,8826.088829,9091.771025
2019-09-10,14906809639,8717.898721,9043.087559
2019-09-11,15428063426,8683.275439,8887.874971
2019-09-12,15323563925,8786.340704,9084.760898
2019-09-13,14109864674,8897.139112,9084.095654
2019-09-14,13468713124,8953.774072,9067.256396
2019-09-15,12043433567,8972.390713,9036.720586
2019-09-16,15160167778,8865.077403,9036.574454
2019-09-17,15304603363,8873.773154,8958.191191
2019-09-18,16169268880,8866.578662,8940.057979
2019-09-19,19937691247,8570.972373,8957.231982
2019-09-20,14734189639,8815.002275,8948.708701
2019-09-21,13425266806,8700.615967,8863.644961
2019-09-22,13199651698,8632.603887,8764.766572
2019-09-23,15144925408,8462.614893,8764.587304
2019-09-24,25002886688,7282.597529,8529.756123
2019-09-25,21744728352,7243.094941,7608.000469
2019-09-26,19258205289,6869.197574,7408.646426
2019-09-27,16408941155,6930.352881,7196.222842
2019-09-28,14141152736,7069.125528,7208.486954
2019-09-29,13034629108,6951.732451,7187.685117
2019-09-30,17115474183,6812.760146,7233.381357
2019-10-01,15305343412,7162.431329,7392.992373
2019-10-02,13125712442,7158.094922,7301.946533
2019-10-03,13668823409,7087.4002,7320.377959
2019-10-04,13139456229,7091.57603,7186.248428
2019-10-05,12200497197,7021.874926,7147.507939
2019-10-06,13160830305,6924.20001,7100.426836
2019-10-07,18009742607,6878.016518,7228.35167
2019-10-08,15592264032,7121.61397,7249.461914
2019-10-09,19384942333,7107.28998,7506.104268
2019-10-10,17618660671,7370.582227,7503.987041
2019-10-11,19604381101,7235.078028,7587.948838
2019-10-12,14532641604,7232.606513,7321.260704
2019-10-13,13808286058,7200.652705,7369.759804
2019-10-14,15151387859,7207.193847,7299.481816
2019-10-15,15220412631,7118.954692,7317.321914
2019-10-16,16071646995,6947.028164,7148.626875
2019-10-17,14313052244,6960.820298,7077.303442
2019-10-18,15651592610,6874.882735,7080.419809
2019-10-19,13797825640,6911.955864,7031.887574
2019-10-20,15504249442,6916.012324,7205.181972
2019-10-21,15868748865,7130.881934,7218.124072
2019-10-22,16803377856,7024.782715,7218.086689
2019-10-23,21942878957,6498.310796,7040.909575
2019-10-24,16268708848,6478.88023,6553.594878
2019-10-25,28705065488,6507.586406,7561.639834
2019-10-26,44496255608,7536.481201,8718.917403
2019-10-27,32593129500,7927.911533,8482.090488
2019-10-28,30948255331,8052.849141,8530.452803
2019-10-29,28426779937,8032.404141,8279.077178
2019-10-30,27706531577,7904.272002,8201.3804
2019-10-31,26583653946,7854.984463,8163.350186
2019-11-01,24324691031,7944.881631,8069.821787
2019-11-02,21242676385,8047.141465,8158.413105
2019-11-03,21132220847,7952.889199,8160.431778
2019-11-04,26170255634,7996.592256,8269.395029
2019-11-05,26198609047,8053.530528,8227.953633
2019-11-06,23133895764,8096.140987,8198.216455
2019-11-07,22700383838,8006.047559,8150.57461
2019-11-08,24333037836,7634.714737,8067.300996
2019-11-09,17578630605,7650.051885,7735.881972
2019-11-10,20587919881,7661.361035,7920.32877
2019-11-11,20265510765,7569.529306,7900.712988
2019-11-12,20309769107,7556.322129,7702.778643
2019-11-13,17545755404,7622.636689,7688.052363
2019-11-14,19084739974,7562.520029,7679.440722
2019-11-15,21796856471,7381.814062,7595.859551
2019-11-16,16495389808,7372.357061,7475.037451
2019-11-17,18668638896,7395.841963,7593.176485
